metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1735826053,1.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_duration,1735826053,96.788300,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_blocked,1735826053,83.411100,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_connecting,1735826053,22.821300,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_tls_handshaking,1735826053,30.021400,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_sending,1735826053,0.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_waiting,1735826053,96.714500,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_receiving,1735826053,0.073800,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_failed,1735826053,0.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
checks,1735826053,1.000000,status is 200,,,,::postalDetail,,,,default,,,,,,,
http_reqs,1735826053,1.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_duration,1735826053,124.684000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_blocked,1735826053,80.809200,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_connecting,1735826053,20.399200,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_tls_handshaking,1735826053,29.452400,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_sending,1735826053,0.568500,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_waiting,1735826053,123.355900,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_receiving,1735826053,0.759600,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
http_req_failed,1735826053,0.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1934,,
checks,1735826053,1.000000,status is 200,,,,::postalDetail,,,,default,,,,,,,
http_reqs,1735826053,1.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_duration,1735826053,170.713000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_blocked,1735826053,73.179900,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_connecting,1735826053,15.740900,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_tls_handshaking,1735826053,26.837600,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_sending,1735826053,0.593400,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_waiting,1735826053,170.027600,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_receiving,1735826053,0.092000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
http_req_failed,1735826053,0.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1602,,
checks,1735826053,1.000000,status is 200,,,,::postalDetail,,,,default,,,,,,,
http_reqs,1735826053,1.000000,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,,
http_req_duration,1735826053,161.623300,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,,
http_req_blocked,1735826053,83.411100,,,,true,::postalDetail,GET,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,HTTP/2.0,default,,200,,tls1.3,https://api.basisregisters.staging-vlaanderen.be/v2/postinfo/1630,,
